,employeeid,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,weekbefore,ncoachingid,total coaching improved,csat,actualvalue
40,26702741,92.666,100.0,90.0,93.75,,100.0,,100.0,1.0,,95.18,81.82
41,26702741,92.666,100.0,90.0,93.75,,100.0,,100.0,1.0,,95.18,81.82
42,26702744,100.0,100.0,93.75,83.33333333333333,,95.23857142857143,,100.0,1.0,,95.48,100.00
43,26702747,96.92750000000001,94.17142857142858,95.48714285714286,96.13,,96.36375,,100.0,3.0,3.0,95.28,95.65
44,26702747,96.92750000000001,94.17142857142858,95.48714285714286,96.13,,96.36375,,100.0,3.0,3.0,95.28,95.65
45,26702751,100.0,95.76666666666665,91.0,95.95166666666667,100.0,93.33333333333333,,100.0,1.0,1.0,95.71,
46,26702757,96.03142857142858,91.66666666666667,93.88833333333332,100.0,94.64250000000001,94.52333333333334,96.19,100.0,2.0,2.0,95.84,96.55
47,26702757,96.03142857142858,91.66666666666667,93.88833333333332,100.0,94.64250000000001,94.52333333333334,96.19,100.0,2.0,2.0,95.84,96.55
48,26702766,100.0,100.0,94.642,,92.21571428571428,96.13,97.5,100.0,3.0,,94.79,87.50
49,26702781,96.25999999999999,93.92375,,,93.54124999999999,94.375,98.0775,100.0,1.0,1.0,93.93,93.18
50,26702784,95.0,95.8325,,,100.0,92.666,100.0,100.0,,,92.76,92.31
51,26702792,93.334,87.5,91.6675,95.83333333333333,100.0,97.142,83.33500000000001,100.0,2.0,,94.53,92.31
52,26702792,93.334,87.5,91.6675,95.83333333333333,100.0,97.142,83.33500000000001,100.0,2.0,,94.53,92.31
53,26702795,100.0,100.0,93.75,50.0,89.28399999999999,100.0,96.0,100.0,,,94.88,96.67
54,26702797,93.9675,94.44333333333333,96.66666666666667,,98.4375,96.875,96.66666666666667,90.0,3.0,2.0,95.24,97.67
55,26702798,97.40285714285713,93.65142857142858,98.0,94.31833333333333,,94.59500000000001,,100.0,1.0,1.0,95.97,88.89
56,26702798,97.40285714285713,93.65142857142858,98.0,94.31833333333333,,94.59500000000001,,100.0,1.0,1.0,95.97,88.89
57,26702801,88.88833333333334,86.0,,,81.25,85.18555555555557,100.0,83.33,4.0,2.0,93.42,100.00
58,26702808,95.17875000000001,,92.5575,100.0,96.14222222222222,96.08624999999999,95.61777777777777,90.0,5.0,4.0,96.09,96.77
59,26702808,95.17875000000001,,92.5575,100.0,96.14222222222222,96.08624999999999,95.61777777777777,75.0,5.0,4.0,96.09,96.77
60,26702817,95.17,96.43625,93.89000000000001,97.238,,94.77666666666667,,94.44,3.0,3.0,96.75,90.48
61,26702826,95.83375,100.0,,,89.58375,100.0,100.0,100.0,6.0,1.0,93.15,91.30
62,26702834,90.435,,97.22166666666665,96.29666666666667,97.95857142857143,97.2225,90.0,100.0,1.0,,96.17,100.00
63,26702854,100.0,85.715,,,100.0,88.89,100.0,100.0,1.0,1.0,96.54,100.00
64,26702883,100.0,,100.0,95.0,97.91666666666667,87.5,97.22166666666665,100.0,3.0,2.0,94.37,91.67
65,26702883,100.0,,100.0,95.0,97.91666666666667,87.5,97.22166666666665,75.0,3.0,2.0,94.37,91.67
66,26702887,95.23857142857143,93.75,98.75,96.42857142857143,,100.0,,100.0,2.0,2.0,96.28,100.00
67,26702887,95.23857142857143,93.75,98.75,96.42857142857143,,100.0,,100.0,2.0,2.0,96.28,100.00
68,26702896,96.42857142857143,100.0,96.66666666666667,100.0,,93.75,,100.0,1.0,1.0,96.25,92.86
69,26702898,97.14285714285714,100.0,100.0,100.0,88.09571428571428,65.0,93.57142857142857,80.0,1.0,,94.38,100.00
70,26702901,95.83333333333333,94.375,95.0,97.14285714285714,100.0,91.15571428571427,100.0,100.0,3.0,1.0,94.09,
71,26702911,90.62333333333333,98.95875,95.11833333333334,95.91375,100.0,95.0311111111111,100.0,93.33,2.0,2.0,95.62,97.87
72,26702911,90.62333333333333,98.95875,95.11833333333334,95.91375,100.0,95.0311111111111,100.0,100.0,2.0,2.0,95.62,97.87
73,26702914,94.286,97.142,93.75,85.88,100.0,100.0,100.0,100.0,4.0,2.0,96.36,
74,26702931,79.11375,92.7225,,,90.05333333333334,98.86375,96.16499999999999,93.33,5.0,3.0,95.55,96.61
75,26702935,100.0,90.0,100.0,96.42857142857143,,100.0,,100.0,,,96.92,100.00
76,26702943,100.0,93.91,100.0,100.0,,95.8325,,100.0,,,94.78,90.91
77,26702958,94.86625000000001,91.11125,95.35714285714286,94.38714285714286,,95.41624999999999,,71.43,4.0,3.0,95.06,92.73
78,26702958,94.86625000000001,91.11125,95.35714285714286,94.38714285714286,,95.41624999999999,,75.0,4.0,3.0,95.06,92.73
79,26702961,100.0,,100.0,100.0,93.67333333333333,100.0,91.875,100.0,1.0,,95.1,93.75
80,26702961,100.0,,100.0,100.0,93.67333333333333,100.0,91.875,100.0,1.0,,95.1,93.75
81,26702977,100.0,94.28571428571429,,,100.0,67.06333333333333,96.29666666666668,100.0,3.0,,93.87,100.00
82,26702987,82.06285714285715,92.61833333333334,88.03500000000001,97.5,,96.12285714285714,,100.0,,,95.64,92.31
83,26702987,82.06285714285715,92.61833333333334,88.03500000000001,97.5,,96.12285714285714,,100.0,,,95.64,92.31
84,26702990,95.0,100.0,,,82.48666666666666,95.41625,100.0,75.0,7.0,5.0,94.19,96.55
85,26702996,100.0,100.0,100.0,100.0,95.0,100.0,91.666,100.0,,,93.48,90.32
86,26702996,100.0,100.0,100.0,100.0,95.0,100.0,91.666,83.33,,,93.48,90.32
87,26703030,100.0,97.5,,,95.08875,96.86,98.86375,100.0,2.0,2.0,93.4,97.22
88,26703036,100.0,98.14777777777778,96.666,100.0,,92.7075,,100.0,1.0,,96.4,92.31
89,26703036,100.0,98.14777777777778,96.666,100.0,,92.7075,,100.0,1.0,,96.4,92.31
90,26703037,100.0,94.90777777777777,96.42857142857143,91.18999999999998,,93.75,,100.0,3.0,2.0,94.08,100.00
91,26703037,100.0,94.90777777777777,96.42857142857143,91.18999999999998,,93.75,,100.0,3.0,2.0,94.08,100.00
92,26703050,95.556,97.22222222222223,97.61857142857141,100.0,,95.23857142857143,,100.0,2.0,,95.87,
93,26703061,100.0,100.0,,91.66499999999999,77.77666666666666,96.66666666666667,100.0,75.0,2.0,,96.01,82.35
94,26703069,95.0,89.91333333333334,100.0,86.36500000000001,100.0,95.23857142857143,90.6625,80.0,,,94.98,100.00
95,26703069,95.0,89.91333333333334,100.0,86.36500000000001,100.0,95.23857142857143,90.6625,87.5,,,94.98,100.00
96,26703073,100.0,100.0,95.70666666666666,,95.15444444444444,100.0,92.6775,100.0,3.0,3.0,95.61,100.00
97,26703073,100.0,100.0,95.70666666666666,,95.15444444444444,100.0,92.6775,100.0,3.0,3.0,95.61,100.00
98,26703081,100.0,92.5,,,96.17285714285715,100.0,96.38888888888889,100.0,2.0,2.0,95.83,
99,26703098,100.0,,100.0,,100.0,93.75,100.0,100.0,,,97.02,100.00
100,26703098,100.0,,100.0,,100.0,93.75,100.0,100.0,,,97.02,100.00
101,26703116,97.22333333333334,95.0,95.83500000000001,90.91000000000001,,75.25800000000001,100.0,91.67,2.0,,95.17,100.00
102,26703118,86.39285714285714,87.5,100.0,93.334,,97.61857142857143,,100.0,3.0,1.0,93.28,100.00
103,26703118,86.39285714285714,87.5,100.0,93.334,,97.61857142857143,,100.0,3.0,1.0,93.28,100.00
104,26703131,95.0,98.86375,100.0,98.81000000000002,96.43,95.08875,100.0,100.0,2.0,2.0,95.33,
105,26703136,93.055,98.86375,95.95166666666667,93.57142857142857,91.66499999999999,90.68199999999999,,100.0,7.0,4.0,94.4,
106,26703139,100.0,100.0,,,100.0,100.0,100.0,100.0,2.0,,93.55,94.12
107,26703140,93.75,100.0,,,96.875,97.22166666666665,91.66714285714286,100.0,4.0,3.0,94.64,100.00
108,26703142,100.0,,100.0,100.0,100.0,83.33333333333333,100.0,100.0,1.0,1.0,95.2,
109,26703143,95.505,96.7575,89.97625,95.55999999999999,100.0,96.37142857142858,,81.82,2.0,2.0,94.78,100.00
110,26703143,95.505,96.7575,89.97625,95.55999999999999,100.0,96.37142857142858,,100.0,2.0,2.0,94.78,100.00
111,26703151,87.5,92.11555555555555,95.8325,96.42857142857143,100.0,100.0,100.0,75.0,14.0,7.0,95.19,96.43
112,26703151,87.5,92.11555555555555,95.8325,96.42857142857143,100.0,100.0,100.0,100.0,14.0,7.0,95.19,96.43
113,26703158,98.462,95.3125,93.5,100.0,100.0,98.57142857142857,97.72749999999999,100.0,2.0,1.0,96.48,95.65
114,26703160,91.6675,95.83333333333333,90.0,100.0,,97.91666666666667,,100.0,,,92.38,
